"","id","validation_loss","min_child_samples","learning_rate","log_max_bin","reg_alpha","reg_lambda","n_estimators","num_leaves","colsample_bytree"
"1","0","9551634185.1721","20","0.09999999999999995","8","0.0009765625","1.0","4","4","1.0"
"2","1","11697614767.800106","33","0.03735454900037746","9","0.0009765625","0.692397057684401","4","4","0.8085131463835397"
"3","2","6676971517.37808","12","0.26770501231052046","7","0.001348364934537134","1.4442580148221913","4","4","1.0"
"4","3","4762227597.114503","9","0.7260594590615893","9","0.0036840681931986645","0.7532480505730402","11","4","0.9285002286474459"
"5","4","6676971517.378083","12","0.2677050123105203","7","0.001348364934537134","1.444258014822189","4","4","1.0"
"6","5","4522678584.140218","5","0.7590459488450945","8","0.001951378031519758","0.04792552866398477","13","5","0.8304072431299575"
"7","6","4762227597.114503","9","0.7260594590615893","9","0.0036840681931986645","0.7532480505730402","11","4","0.928500228647446"
"8","7","5383293987.856193","7","1.0","8","0.01733242307011803","0.2474885981934692","4","6","0.8997610526325525"
"9","8","4242144716.828231","4","0.41929025492645006","8","0.0009765625","0.009280655005879927","45","4","0.7610534336273627"
"10","9","4638451343.901316","5","1.0","8","0.0013805492389047578","0.012738639284966935","14","4","0.8571920610308755"
"11","10","3760790002.6722946","3","0.17402065726724145","8","0.0009765625","0.006761362450996487","146","18","0.6649148062238498"
"12","11","5501444824.538156","2","0.7580647590327124","9","0.0009765625","0.0012849550556250729","194","22","0.6013779332617044"
"13","12","4010414791.804656","4","0.039948023958222174","7","0.001538995396757784","0.03557791534701299","110","15","0.7284516791859952"
"14","13","3888741246.538549","3","0.3239297756196601","9","0.0009765625","0.02411339190861214","236","4","0.7330450035989674"
"15","14","3756858190.299037","4","0.09348689572544734","7","0.006958608037974516","0.001895876878997586","90","75","0.5967846088487322"
"16","15","4638809550.874777","3","0.3703813508858332","7","0.0036563764510495374","0.0009765625","79","276","0.6843185130733944"
"17","16","4585240971.575246","5","0.023596759533053895","7","0.013243227680307446","0.0036906455211524816","103","20","0.50925070462407"
"18","17","3846938125.176394","3","0.08222714104485478","9","0.003934614746573571","0.003560646472734122","54","283","0.6782006405163307"
"19","18","3732226155.493142","5","0.10628850232811957","6","0.012306726057063571","0.0010094653226153133","150","20","0.5153685771811336"
"20","19","3830272013.345151","6","0.32759819093611847","7","0.019614737210779484","0.0009765625","75","10","0.6624190988986475"
"21","20","3870785663.3205404","4","0.03448506749952608","5","0.007721515950790995","0.0015521870793355568","299","42","0.36831805546361973"
"22","21","3731459919.633195","2","0.13130621487141123","7","0.057690138157439","0.0021645473252263105","284","10","0.5655565896101211"
"23","22","3732226155.493142","5","0.10628850232811957","6","0.012306726057063577","0.0010094653226153133","150","20","0.5153685771811336"
"24","23","4032624013.5104575","2","0.0532477942486597","7","0.07954067922818286","0.0038489004659587483","390","4","0.7731737201333188"
"25","24","4216933199.366252","2","0.3237941084158842","7","0.041842137544195974","0.0012172996326048902","207","26","0.3579394590869235"
"26","25","3702626779.1646743","2","0.0813377735783494","8","0.02538805616849788","0.0036605093141125248","185","50","0.5101632330336864"
"27","26","3752089852.508376","4","0.13130621487141123","7","0.057690138157439","0.002164547325226311","285","10","0.5655565896101211"
"28","27","4212357028.494609","2","0.1507157404086059","7","0.004962332142851418","0.0062603712032711974","386","98","0.402860818473975"
"29","28","3997560596.7111998","3","0.04389610131461138","10","0.12988920883567356","0.0021403408845314274","89","26","0.6174656475933978"
"30","29","4493304859.455884","2","0.028921189299190728","7","0.008058745776641703","0.0009765625","121","16","0.4651548798928753"
"31","30","4246093609.8389916","2","0.22875385041195245","9","0.07998185001480546","0.027955908738746694","284","159","0.5551715861744975"
"32","31","3946611846.2913027","2","0.09665452976873434","7","0.0032181575816212123","0.003533234161745443","78","107","0.4516088100317845"
"33","32","3732132701.5394073","4","0.06844824993213006","9","0.20028646194823568","0.003792369207730399","441","23","0.5687176560355882"
"34","33","3858604107.4723954","2","0.0333404480330446","7","0.06431069572393298","0.002067070707721477","107","142","0.6219939072054104"
"35","34","3984338225.000431","3","0.19843264865924135","9","0.01002249141856096","0.006482278709021311","319","18","0.3983325588619624"
"36","35","4043108831.687548","2","0.12306713168239096","7","0.004153240452452558","0.009191026453813242","910","65","0.5216240120677029"
